dataset_row,text,class
0,Brag to you about the hoes he hittin and when you ask for a pic he show you some sorry ass female.. Then all you can do is laugh..,1
1,CNT nobody be mad at who he choose to be with I can't be mad at no bitch its the nigga so hay,1
2,"RT @grindingdude: #13Hours of hell. Obama flat out lied to get reelected. #killery &lt;What diff does it make now? 

Karma, it's a bitch! http&#8230;",1
3,Niccas been deerin me err weekend but I bet I hit dat A dolo dis weekend if niccas playin &#9996;&#65039;,1
4,"I should probs shave my spic stash soon, its kinda getting out of hand",1
5,Well Jenna's getting a yellow lab so I know where ill be whenever I'm home,0
6,' Id rather sit at the house all day and jack off then bust a mission to literally only chill with a bitch &#1041204;&#1043473;... http://t.co/MEtM60bG15,1
7,RT @nishachante__: &#8220;@viaNAWF: Twitpic your reaction if you find out the love of your life selling pussy/sold pussy on backpage&#8221; http://t.co&#8230;,1
8,@kenzieblake2015 its pretty easy actually. I'm just the cashier. Right now I'm eating those animal crackers lolol :),0
9,@foreverschmoked vertical nip bars..I already have horizontal ones so I think it'll look hella cute,0
10,"RT @gordonshuckrow: Can you call someone a racist, then call them ""white bitch"" in the same sentence without losing credibility? @Franchein&#8230;",1
11,&#8220;@CiscoAllDay: If you have a different dude every other week you might be a hoe... #js&#8221;no your not don't listen to him ladies #DoU,1
12,Only in my hick town can you walk into a national sports bar and get Busch light in a can. SMH,0
13,@brianholmes2700 god doesn't send retards to hell,1
14,@MurdaaaMike @yfly23 wow I can put slit trophies against u in those,0
15,We can't call somebody wack we got Raymond Felton RT @BeckDeeMyG: Lin so trash.,0
16,"RT @Chaaaauncey: Top 5 Cartoon bitches id fuck
1. Shego
2. Dexters mom
3. Lola bunny
4. Jessica rabbit
5. Timmy turner's mom",1
17,&#128563;Oh this bitch Midy must be crazy http://t.co/75LWvtD4oJ,1
18,You can be a hoe in love,1
19,My mom bitches too much,1
20,Me &amp; Elizabeth are down bitches.,1
21,I don't buy pussy cuz it's free bitch I buy lacs!,1
22,"""bitch freak my shit""",1
23,"It's kind of funny when people tell me they haven't seen me in years, and where have I been. Like at home bitch",1
24,"@noobde @RodriguezLiam *draws perfect scorpion*

*writes name all retarded*",1
25,I don't own any #Onslaught on #Vinyl I may have to get one now. Their new Lp is available in army green coloured vinyl,0
26,Watch out nigger lovers. You day is coming. http://t.co/ZV1CpK1iy8,2
27,@FreeBlazeGawd lmsoooo dawg I ain't got no bitches mane. I low key got a chick but I can't say it on Twitter. You know how these wolves is,1
28,@0ddment I could fuck a bowl of graham cracker cereal,1
29,The world will be a better place when bitches like her dies lonely http://t.co/vj45zL1zKF,1
30,I told y'all he was going to do that shit u.# pussy boy,1
31,"Of all the lazy bitches, I was the laziest today #noregrets",1
32,"Boys want bad bitches , and dummies. Men want strong women who respect themselves and support his grind while handling hers.",1
33,RT @Cspen335: Right you are! Have you heard of the 'dodo' bird? He's the one with Obama on his ass! http://t.co/0qHypwxzYh,1
34,"RT @sky106radio: For lots of great oldies, check out ""Memories and More"", with Yankee Rose, today from 1:00 PM to 4:00 PM Eastern! http://t&#8230;",0
35,My bad. That was about @LIPSDRIPRUBIES RT @VofD: Why bitches act like I CAN'T READ or like words don't have a meaning.,1
36,RT @i_EaT_PIE: Dame the type of bitch that go to jail to meet men &#128514;&#128514;&#128514; http://t.co/ZWtTSb9cc1,1
37,RT @zekNcashe: you can't question snoop dogg he a OG he told us not to love these hoes.,1
38,@OlTimeBaseball @Yankees @PaulONeillYES that matters ?,0
39,I show love to everybody not on joe time i just hate stuck up people thats hoe shit,1
40,@allsportsbruh how? All of the QBs we had before this season were trash. They brought in a veteran so they could have someone to play,0
41,"RT @KevinHart2ReaI: All Bow Wow hoes on the stage, lol",1
42,My bitch ass buddy pmo,1
43,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof",0
44,RT @WayneL_Jr: 80% RT @NotMorris_: 60% of these hoes be fake gay,1
